Reference, Value, Footprint, Datasheet, Description, Manufacturer, Manufacturer Part No, Supplier 1, Supplier 1 Part No, Supplier 1 Cost, Supplier 2
C1,100nf,matts_components:C1_wide_lg_pad,,,,,,,£0.05,
C2,100nf,matts_components:C1_wide_lg_pad,,,,,,,£0.05,
C3,100uf,REInnovationFootprint:C_1V7_TH,,100V Electrolytic,Panasonic,ECA-2AM101B,RS,807-3431,£0.14,
C4,100nf,matts_components:C1_wide_lg_pad,,,,,,,£0.05,
C5,100nf,matts_components:C1_wide_lg_pad,,,,,,,£0.05,
C6,2.2uf,REInnovationFootprint:C_1V7_TH,http://docs-europe.electrocomponents.com/webdocs/156e/0900766b8156ecdd.pdf,60V+ Ceramic Low ESR,Murata,RDEC72A225K3M1H03A,RS,133-5714,£0.79,
C7,1uf,REInnovationFootprint:C_1V7_TH,,>25V Electrolytic/Ceramic,Murata,RCER71H105K2M1H03A,RS,841-0755,£0.28,
C8,100nf,matts_components:C1_wide_lg_pad,,,,,,,£0.05,
C9,1uf,REInnovationFootprint:C_1V7_TH,,>25V Electrolytic/Ceramic,Murata,RCER71H105K2M1H03A,RS,841-0755,£0.28,
C10,10uf,REInnovationFootprint:C_1V7_TH,,Low ESR. 25V,Panasonic,EEUFR1H100,RS,923-2745,£0.05,
D1,3v3,REInnovationFootprint:TH_Diode_1,,,,,,,£0.07,
D2,3v3,REInnovationFootprint:TH_Diode_1,,,,,,,£0.07,
D3,1N5819,REInnovationFootprint:TH_Diode_1,https://www.diodes.com/assets/Datasheets/ds23001.pdf,1A Schottky Diode,Diodes Inc,1N5819,AliExpress,,£0.07,
D4,1N5819,REInnovationFootprint:TH_Diode_1,https://www.diodes.com/assets/Datasheets/ds23001.pdf,1A Schottky Diode,Diodes Inc,1N5819,AliExpress,,£0.07,
D5,WS2811_5mm,REInnovationFootprint:TH_WS2811_LED_8mm,https://www.coolcomponents.co.uk/en/opto/leds/digital-rgb-addressable-led-5mm-through-hole-10-pack.html,TH WS2811 Single LED Addressable,,,AliExpress,,£0.50,
D6,1N5822,REInnovationFootprint:TH_Diode_1,http://docs-europe.electrocomponents.com/webdocs/14bb/0900766b814bbef7.pdf,Schottky Diode >1A,HY Electronic Corp,1N5822,RS,917-9102,£0.05,
D7,LED,REInnovationFootprint:TH_LED-5MM_larg_pad,,,,,,,£0.10,
D8,UF4002,REInnovationFootprint:TH_Diode_1,http://docs-europe.electrocomponents.com/webdocs/12cf/0900766b812cffe7.pdf,Fast rectifier for Flyback. 100V,Vishay,UF4002-E3,RS,628-9732,£0.12,
D9,1N5819,REInnovationFootprint:TH_Diode_1,https://www.diodes.com/assets/Datasheets/ds23001.pdf,1A 0.850V Schottky 1A,Diodes Inc,1N5819,Aliexpress,,£0.07,
DISP1,OLED_I2C,REInnovationFootprint:TH_OLED1306,,,,,,,£4.00,
DISP2,SPI_LCD,REInnovationFootprint:TH_LCD_SPI_128x128,https://www.elecrow.com/wiki/index.php?title=1.44%27%27_128x_128_TFT_LCD_with_SPI_Interface,An SPI Colour LCD with backlight,Elecrow,,,,,
EN1,ENCLOSURE,,http://cpc.farnell.com/hammond/1590bb/box-diecast-119x94x30/dp/EN82042?ost=EN82042&selectedCategoryId=&categoryNameResp=All&searchView=table&iscrfnonsku=false,Enclosure for unit,,,,,,
ENC1,Encoder,REInnovationFootprint:TH_Encoder,,,,,,,£1.00,
F1,500mA,REInnovationFootprint:TH_MC36188_FUSE,,Resettable Fuse 60V,TE,RXEF050,RS,517-6635,£0.26,
J1,JACK_TRS_6PINS,REInnovationFootprint:TH_3_5mm_Jack,,,,,,,£0.20,
J2,Arduino_Nano_Header,REInnovationFootprint:NANO_DIP_30_600,,,,,,,£3.50,
L1,22uH,REInnovationFootprint:TH_Inductor,,>1.6A Rated 2.3A,Wurth,744772220,RS,489-0043,£0.67,
LOGO1,LOGO,CuriousElectric3:CEC_Globe_10mm_FCU,,,,,,,,
LOGO2,LOGO,CuriousElectric3:TCEC_Words_13mm,,,,,,,,
P1,INPUT,matts_components:SIL-2_screw_terminal_32A,,,,,,,£1.00,
P2,Vref?,matts_components:SIL-2_solder_connect,,,,,,,,
P3,MicroSD,matts_components:SIL-6_large_pads_marker,http://www.gearbest.com/development-boards/pp_63013.html?currency=GBP&vip=760169&gclid=CPHFuoqAjdMCFUK7GwodO08Omw,External Micro SD slot with level shifter,,,,,,
P4,A6_7,matts_components:SIL-4_Grove_SIL,,,,,,,£0.40,
P5,OUTPUT,matts_components:SIL-2_screw_terminal_32A,,,,,,,£1.00,
P6,SERIAL,matts_components:SIL-4_Grove_SIL,,,,,,,£0.40,
P7,A2,matts_components:SIL-4_Grove_SIL,,,,,,,£0.40,
P8,TP_Vin,matts_components:1pin_0_8mm,,,,,,,,
P9,TP_Vout,matts_components:1pin_0_8mm,,,,,,,,
P10,TP_FET,matts_components:1pin_0_8mm,,,,,,,,
P11,TP_GND,matts_components:1pin_0_8mm,,,,,,,,
P12,TP_5V,matts_components:1pin_0_8mm,,,,,,,,
P13,TP_10V,matts_components:1pin_0_8mm,,,,,,,,
PCB1,PCB,REInnovationFootprint:PCB_75x100mm,,,,,,,£3.00,
Q1,TK32A12N1,matts_components:TO220_VERT_BUZ11_matt,http://uk.rs-online.com/web/p/mosfet-transistors/8962344/,N Channel MOSFET 60A 120V Rds 13m,Toshiba,TK32A12N1,RS,896-2344,£0.41,
R1,Rb,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.20,
R2,Ra,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.20,
R3,Rb,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.20,
R4,Ra,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.20,
R5,4k7,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R6,5,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R7,1k,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R8,100k,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R9,100k,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R10,100k,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
R11,8.2k,REInnovationFootprint:TH_Resistor_1,,,,,,,£0.04,
U1,IR2117,REInnovationFootprint:DIP-8_300_ELL,http://www.infineon.com/dgdl/ir2117.pdf?fileId=5546d462533600a4015355c84331168d,High Voltage High Side FET driver,Infineon,IR2117PBF,RS,540-9711,£1.76,DigiKey
U2,LMR16006,REInnovationFootprint:SM_SOT23-6,http://www.ti.com/lit/ds/symlink/lmr16006.pdf,60V 0.6A Buck Reg,TI,LMR16006YDDCT,RS,900-9790,£2.50,
